id,date,year,semester,era,kind,sentiment,sentiment_label,emoji,tone_intensity,primary_topic_label,topic_tag_labels,entities,target_short,sender_short,snippet,text_full
221,1992-02-13,1992,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.45,"Streets, traffic & pedestrian safety","Streets, traffic & pedestrian safety | Police, public safety & city services | Campus edge, construction & expansion",JMU | Harrisonburg Police | Campus Police / Public Safety,the JMU police officer,pedestrian Cathi Stillman,An annoyed dart to the JMU police officer who completely ignored the pedestrian yield light in front of Anthony-Seeger as I was crossing the street. It's bad enough nobody else st…,"An annoyed dart to the JMU police officer who completely ignored the pedestrian yield light in front of Anthony-Seeger as I was crossing the street. It's bad enough nobody else stops, but come on! Sent in by pedestrian Cathi Stillman."
245,1992-02-27,1992,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.37,Community service & mutual aid,"Community service & mutual aid | Civic identity, media & reputation",,the Duke Dog,someone,A mean ol' dart to the Duke Dog for only sporadically appearing at the women's basketball games. Some community children come to games just to see the big furry guy. Sent in by so…,A mean ol' dart to the Duke Dog for only sporadically appearing at the women's basketball games. Some community children come to games just to see the big furry guy. Sent in by someone who has seen sad eyes.
268,1992-03-23,1992,Spring,1991–1999,PAT,1,pat / praise,👏,0.5,Community service & mutual aid,Community service & mutual aid,JMU | Mercy House,WXJM,,"A real cool pat to WXJM for sponsoring Cool Aid, a unique showcase of JMU bands that benefited Mercy House. And much thanks to Johnnies Heritage, Succotash, the Dave Matthews Band…","A real cool pat to WXJM for sponsoring Cool Aid, a unique showcase of JMU bands that benefited Mercy House. And much thanks to Johnnies Heritage, Succotash, the Dave Matthews Band, Cillia, Dancecrashers and the Cicada for contributing their talent."
274,1992-03-26,1992,Spring,1991–1999,PAT,1,pat / praise,👏,0.42,Community service & mutual aid,"Community service & mutual aid | Weather, environment & infrastructure",JMU,the members,a concerned individual,"A great big pat for the members of JMU's Animal Rights Coalition protesting the use of donkeys in a ""donkey basketball"" game at Broadway High School. Animals were not put on this…","A great big pat for the members of JMU's Animal Rights Coalition protesting the use of donkeys in a ""donkey basketball"" game at Broadway High School. Animals were not put on this Earth to be abused. Sent in by a concerned individual."
308,1992-04-13,1992,Spring,1991–1999,PAT,1,pat / praise,👏,0.44,"Civic identity, media & reputation","Community service & mutual aid | Civic identity, media & reputation",,the members,Rhonda Cunningham,To the members of the predominately black Greek letter organization for all the community service work that we do that sometimes seems to go unrecognized by our peers. Though we a…,"To the members of the predominately black Greek letter organization for all the community service work that we do that sometimes seems to go unrecognized by our peers. Though we are service organizations and we do things to give back to the community, it's nice to know that we are appreciated. Sent in by Rhonda Cunningham, a member of the Sigma Gamma Rho Sorority Inc."
313,1992-04-16,1992,Spring,1991–1999,DART,-1,dart / criticism,🎯,0.43,"Neighbors, parties & student behavior","Neighbors, parties & student behavior | Downtown, arts & events | Campus edge, construction & expansion | Civic identity, media & reputation",,the stadium,the Alpha Sigma Tau house,To the stadium for playing obnoxiously loud music over the PA system early Sunday morning for field hockey practice. We appreciate the need for entertainment but you disturbed the…,"To the stadium for playing obnoxiously loud music over the PA system early Sunday morning for field hockey practice. We appreciate the need for entertainment but you disturbed the Lake area, the Row and the surrounding community. Next time, bring a box. Sent in by the Alpha Sigma Tau house."
342,1992-09-17,1992,Fall,1991–1999,PAT,1,pat / praise,👏,0.37,Community service & mutual aid,Community service & mutual aid,Harrisonburg | Mercy House,the brothers,,"To the brothers of Alpha Kappa Lambda for doing a fundraiser on the commons for Mercy House, a homeless shelter in Harrisonburg. It takes patience to shout into a microphone as pe…","To the brothers of Alpha Kappa Lambda for doing a fundraiser on the commons for Mercy House, a homeless shelter in Harrisonburg. It takes patience to shout into a microphone as people pass aimlessly by, oblivious to the needs of others."
346,1992-09-21,1992,Fall,1991–1999,PAT,1,pat / praise,👏,0.48,"Transit, buses & mobility","Transit, buses & mobility",Harrisonburg | JMU | Harrisonburg Transit,the Harrisonburg Bus Transit System,a student,To the Harrisonburg Bus Transit System. Thank you for your great service to the public and especially JMU students. The new bus schedules are awesome. Sent in by a student who par…,To the Harrisonburg Bus Transit System. Thank you for your great service to the public and especially JMU students. The new bus schedules are awesome. Sent in by a student who participated in a public relations project analyzing the effectiveness of the bus system.
390,1992-10-15,1992,Fall,1991–1999,PAT,1,pat / praise,👏,0.41,Community service & mutual aid,"Housing, landlords & apartment life | Downtown, arts & events | Community service & mutual aid | Civic identity, media & reputation",,the residents,the events organizers,"A huge pat of thanks and congratulations to the residents, parents and staff of the Village Area for helping raise $700 during the ""How much is the Village sidewalk worth?"" fundra…","A huge pat of thanks and congratulations to the residents, parents and staff of the Village Area for helping raise $700 during the ""How much is the Village sidewalk worth?"" fundraising campaign. The money will go to the Community Mediation Center's ""Your place after school"" program for local children. Sent in by the events organizers."
388,1992-10-15,1992,Fall,1991–1999,PAT,1,pat / praise,👏,0.42,Community service & mutual aid,Community service & mutual aid,JMU | Mercy House,JMU's social fraternities and sororities,,"A pat to JMU's social fraternities and sororities who raised over $17,550 in the last year for their respective philanthropies. Mercy House came out the big winner with over $4,00…","A pat to JMU's social fraternities and sororities who raised over $17,550 in the last year for their respective philanthropies. Mercy House came out the big winner with over $4,000 directly from JMU student efforts."
